build_table,build_table_column,regnskap_no_concept_id,note
lonn_ytelser_konsern,arsverk,regnskap-no:Arsverk,
pantstillelser,asset_class,regnskap-no:KlassifiseringAvAnleggsmidlerAxis,
pantstillelser,book_value,regnskap-no:BokfortVerdiPantsattEiendel,
pantstillelser_konsern,asset_class,regnskap-no:KlassifiseringAvAnleggsmidlerAxis,
pantstillelser_konsern,book_value,regnskap-no:BokfortVerdiPantsattEiendel,
pensjon_otp,pliktig_otp,regnskap-no:PliktigOTP,
pensjon_otp,oppfyller_otp,regnskap-no:OppfyllerOTP,
regnskapsprinsipper_flags,is_small_entity_nrs8,regnskap-no:ErSmaaForetakNRS8,
regnskapsprinsipper_flags,recognizes_utsatt_skattefordel,regnskap-no:RecognizesUtsattSkattefordel,
regnskapsprinsipper_flags,utsatt_skatt_sats_pct,regnskap-no:UtsattSkattSatsPct,
relatert_part_kreditt,party_role,regnskap-no:RelatertPartKreditt,
relatert_part_kreditt,party_name,regnskap-no:RelatertPartKreditt,
relatert_part_kreditt,party_orgnr,regnskap-no:RelatertPartKreditt,
relatert_part_kreditt,direction,regnskap-no:InternFordringerGjeld,
relatert_part_kreditt,amount,regnskap-no:RelatertPartKreditt,
relatert_part_kreditt,forfall,regnskap-no:RelatertPartKreditt,
relatert_part_kreditt,rentebaserende,regnskap-no:RelatertPartKreditt,
relatert_part_kreditt,narrative,regnskap-no:RelatertPartKreditt,
revisor_honorar,revisjon,regnskap-no:RevisorhonorarLovpalagt,
revisor_honorar,annen_bistand,regnskap-no:RevisorhonorarAndreTjenester,
revisor_honorar,sum,regnskap-no:RevisorhonorarLovpalagt,
revisor_honorar_konsern,revisjon,regnskap-no:RevisorhonorarLovpalagt,
revisor_honorar_konsern,annen_bistand,regnskap-no:RevisorhonorarAndreTjenester,
revisor_honorar_konsern,sum,regnskap-no:RevisorhonorarLovpalagt,
skatt_aaret,resultat_for_skatt,regnskap-no:ResultatForSkattSpesifisering,
skatt_aaret,permanente_forskjeller,regnskap-no:PermanenteSkatteforskjeller,
skatt_aaret,endring_midlertidige_forskjeller,regnskap-no:EndringMidlertidigeForskjeller,
skatt_aaret,skattepliktig_inntekt,regnskap-no:SkattepliktigInntekt,
skatt_aaret,betalbar_skatt,regnskap-no:BetalbarSkattAaret,
skatt_aaret,skatt_utland,regnskap-no:SkattUtland,
skatt_aaret,endring_utsatt_skattefordel,regnskap-no:EndringUtsattSkattefordel,
skatt_aaret,skattekostnad_total,regnskap-no:Skattekostnad,
skatt_aaret,anvendelse_fremforbart_underskudd,regnskap-no:AnvendelseFremforbartUnderskudd,
skatt_aaret_konsern,resultat_for_skatt,regnskap-no:ResultatForSkattSpesifisering,
skatt_aaret_konsern,permanente_forskjeller,regnskap-no:PermanenteSkatteforskjeller,
skatt_aaret_konsern,endring_midlertidige_forskjeller,regnskap-no:EndringMidlertidigeForskjeller,
skatt_aaret_konsern,skattepliktig_inntekt,regnskap-no:SkattepliktigInntekt,
skatt_aaret_konsern,betalbar_skatt,regnskap-no:BetalbarSkattAaret,
skatt_aaret_konsern,skatt_utland,regnskap-no:SkattUtland,
skatt_aaret_konsern,endring_utsatt_skattefordel,regnskap-no:EndringUtsattSkattefordel,
skatt_aaret_konsern,skattekostnad_total,regnskap-no:Skattekostnad,
skatt_aaret_konsern,anvendelse_fremforbart_underskudd,regnskap-no:AnvendelseFremforbartUnderskudd,
skatt_midlertidige_forskjeller,anleggsmidler_temp_diff_01_01,regnskap-no:AnleggsmidlerTempDiff,
skatt_midlertidige_forskjeller,anleggsmidler_temp_diff_31_12,regnskap-no:AnleggsmidlerTempDiff,
skatt_midlertidige_forskjeller,tilvirkningskontrakter_01_01,regnskap-no:TilvirkningskontrakterTempDiff,
skatt_midlertidige_forskjeller,tilvirkningskontrakter_31_12,regnskap-no:TilvirkningskontrakterTempDiff,
skatt_midlertidige_forskjeller,fordringer_temp_diff_01_01,regnskap-no:FordringerTempDiff,
skatt_midlertidige_forskjeller,fordringer_temp_diff_31_12,regnskap-no:FordringerTempDiff,
skatt_midlertidige_forskjeller,andre_forskjeller_01_01,regnskap-no:AndreForskjeller,
